Time (s),Torque (Nm),X Accel (m/s2),Y Accel (m/s2),Z Accel (m/s2),CNT 1/Angle (Degrees),CNT 1/Frequency (RPM)
8.21774000,-0.0338924713432789,-0.0287838187068701,-0.0260356441140175,-0.0196707118302584,4982.34375,0
8.21775000,-0.0338924713432789,-0.084137313067913,-0.0588631965219975,-0.108188919723034,4982.34375,0
8.21776000,-0.0338924713432789,-0.0276767481118441,-0.126782268285751,0.0120209911838174,4982.34375,0
8.21777000,-0.0338924713432789,-0.00332120968960226,-0.0147157991304994,-0.0131138088181615,4982.34375,0
8.21778000,-0.0338924713432789,0.0553534962236881,-0.10414257645607,-0.10709610581398,4982.34375,0
8.21779000,-0.0338924713432789,0.0365333072841167,-0.0713150277733803,0.00874253921210766,4982.34375,0
8.21780000,-0.0338924713432789,0.0597817748785019,-0.133574172854424,-0.00874253921210766,4982.34375,0
8.21781000,-0.0338924713432789,-0.0498181469738483,-0.0282996129244566,0.0601049549877644,4982.34375,0
8.21782000,-0.0338924713432789,-0.157203927636147,-0.0215077064931393,-0.126766815781593,4982.34375,0
8.21783000,-0.0338924713432789,0.0177131183445454,0.0158477835357189,-0.168293878436089,4982.34375,0
8.21784000,-0.0338924713432789,0.032105028629303,0.0769749507308006,0.00437126960605383,4982.34375,0
8.21785000,-0.0338924713432789,-0.0354262366890907,0.00679190689697862,-0.206542477011681,4982.34375,0
8.21786000,-0.0338924713432789,0.179345324635506,-0.0792389139533043,-0.115838639438152,4982.34375,0
8.21787000,-0.0338924713432789,0.00664241937920451,0.090558759868145,-0.0382486097514629,4982.34375,0
8.21788000,-0.0338924713432789,0.033212099224329,-0.138102114200592,-0.0852397531270981,4982.34375,0
8.21789000,-0.0338924713432789,0.0952080115675926,0.0305635817348957,-0.00874253921210766,4982.34375,0
8.21790000,-0.0338924713432789,-0.114028200507164,0.0532032735645771,-0.00655690440908074,4982.34375,0
8.21791000,-0.0338924713432789,-0.0398545190691948,0.0860308259725571,-0.0218563470989466,4982.34375,0
8.21792000,-0.0338924713432789,0.0154989790171385,0.100746624171734,-0.103817649185658,4982.34375,0
8.21793000,-0.0338924713432789,-0.0177131183445454,-0.052071288228035,-0.130045264959335,4982.34375,0
8.21794000,-0.0338924713432789,-0.163846343755722,0.0882947891950607,-0.0448055118322372,4982.34375,0
8.21795000,-0.0338924713432789,-0.194844305515289,-0.0452793799340725,-0.0218563470989466,4982.34375,0
8.21796000,-0.0338924713432789,-0.0553534962236881,0.0147157991304994,0.0819613039493561,4982.34375,0
8.21797000,-0.0338924713432789,0.0177131183445454,0.0158477835357189,-0.00327845220454037,4982.34375,0
